Model,MAE,RMSE,R2
Ridge Regression,1.0640660239724293,2.220626895164275,0.9992261505894818
Random Forest,1.110041499330655,2.235672497610721,0.9992156288096928
Linear Regression,1.1135076577738154,2.347044397264781,0.9991355340834451
Elastic Net,1.1388284796410393,2.4335193688322696,0.9990706594662095
Lasso Regression,1.1980850693829768,2.587842224890499,0.9989490529032599
XGBoost,1.3689633459578876,2.795221768653763,0.9987738663683733
